hosp,cases,lineDays,sir,ciLow,ciHigh,area
"UNIVERSITY OF CALIFORNIA, SAN DIEGO MED CTR",,,,,,general medical/surgical care
"UCSD-LA JOLLA, JOHN M.& SALLY B. THORNTON HOSP",,,,,,general medical/surgical care
"VALLEY PRESBYTERIAN HOSP, VAN NUYS",7,3721,1.88,0.76,3.88,general medical/surgical care
"VERDUGO HILLS HOSP, GLENDALE",0,334,0.00,0.00,8.97,general medical/surgical care
"WASHINGTON HOSP, FREMONT",8,4229,1.89,0.82,3.73,general medical/surgical care
WATSONVILLE COMMUNITY HOSP,0,1355,0.00,0.00,2.21,general medical/surgical care
"WEST ANAHEIM MED CTR, ANAHEIM",0,437,0.0,0.00,6.86,general medical/surgical care
WEST HILLS HOSP AND MED CTR,3,2695,1.1,0.23,3.25,general medical/surgical care
WESTERN MED CTR ANAHEIM,0,490,0.0,0.00,6.11,general medical/surgical care
WESTERN MED CTR SANTA ANA,0,833,0.0,0.00,3.60,general medical/surgical care
WOODLAND MEMORIAL HOSP,0,1236,0.0,0.00,2.42,general medical/surgical care
STATE OF CALIFORNIA POOLED DATA,98,185289,0.53,,,general surgical care
"ALVARADO HOSP, LLC",1,127,7.87,0.20,43.87,general surgical care
"ALVARADO HOSP MED CTR, CAMPUS #1, SAN DIEGO",,,,,,general surgical care
"ALVARADO HOSP MED CTR, CAMPUS #2, SAN DIEGO",,,,,,general surgical care
"ARROWHEAD RGN MED CTR, COLTON",1,1111,0.90,0.02,5.01,general surgical care
"BARTON MEMORIAL HOSP, SOUTH LAKE TAHOE",0,126,0.00,0.00,23.78,general surgical care
"CEDARS-SINAI MED CTR, LOS ANGELES",1,14652,0.07,0.00,0.38,general surgical care
CLOVIS COMMUNITY MED CTR,2,1241,1.61,0.20,5.82,general surgical care
"COMMUNITY MEMORIAL HOSP, SAN BUENAVENTURA, VENTURA",0,502,0.00,0.00,5.97,general surgical care
"CONTRA COSTA REGIONAL MED CTR, MARTINEZ",1,1894,0.53,0.01,2.94,general surgical care
COUNTY OF VENTURA,1,497,2.01,0.05,11.21,general surgical care
VENTURA COUNTY MED CTR,,,,,,general surgical care
"VENTURA COUNTY MED CTR, SANTA PAULA HOSP",,,,,,general surgical care
"DAMERON HOSP, STOCKTON",1,671,1.49,0.04,8.30,general surgical care
DELANO REGIONAL MED CTR,0,14,,,,general surgical care
"DESERT REGIONAL MED CTR, PALM SPRINGS",0,2046,0.00,0.00,1.46,general surgical care
DIGNITY HEALTH,0,1266,0.00,0.00,2.37,general surgical care
"DOMINICAN HOSP CAMPUS #1, SANTA CRUZ",,,,,,general surgical care
"DOMINICAN HOSP CAMPUS #2, SANTA CRUZ",,,,,,general surgical care
DIGNITY HEALTH,1,2544,0.39,0.01,2.19,general surgical care
"MERCY HOSP, BAKERSFIELD",,,,,,general surgical care
"MERCY SOUTHWEST HOSP, BAKERSFIELD",,,,,,general surgical care
"DOCTORS MED CTR, MODESTO",1,3026,0.33,0.01,1.84,general surgical care
"DOCTORS MED CTR, SAN PABLO",2,152,13.16,1.59,47.53,general surgical care
DOWNEY REGIONAL MED CTR,2,1003,1.99,0.24,7.20,general surgical care
"EISENHOWER MED CTR, RANCHO MIRAGE",0,2036,0.00,0.00,1.47,general surgical care
EL CAMINO HOSP,,,,,,general surgical care
"EL CAMINO HOSP, LOS GATOS",0,266,0.00,0.00,11.26,general surgical care
"EL CAMINO HOSP, MOUNTAIN VIEW",0,888,0.00,0.00,3.37,general surgical care
"EMANUEL MED CTR INC, TURLOCK",2,734,2.72,0.33,9.84,general surgical care
ENLOE MED CTR,0,2281,0.00,0.00,1.31,general surgical care
"ENLOE MED CTR-COHASSET, CHICO",,,,,,general surgical care
"ENLOE MED CTR-ESPLANADE, CHICO",,,,,,general surgical care
"ENLOE REHABILITATION CTR, CHICO",,,,,,general surgical care
"FEATHER RIVER HOSP, PARADISE",1,587,1.70,0.04,9.49,general surgical care
FOUNTAIN VALLEY REGIONAL HOSP & MED CTR,0,1416,0.00,0.00,2.12,general surgical care
FOUNTAIN VALLEY REGIONAL HOSP & MED CTR,,,,,,general surgical care
FREMONT-RIDEOUT HEALTH GROUP,4,909,4.40,1.20,11.27,general surgical care
"FREMONT MED CTR, YUBA CITY",,,,,,general surgical care
"RIDEOUT MEMORIAL HOSP, MARYSVILLE",,,,,,general surgical care
FRESNO HEART AND SURGICAL HOSP,1,830,1.20,0.03,6.71,general surgical care
FRESNO SURGICAL HOSP,0,8,,,,general surgical care
"GARFIELD MED CTR, MONTEREY PARK",0,331,0.00,0.00,9.05,general surgical care
GLENDALE ADVENTIST MED CTR,2,1363,1.47,0.18,5.30,general surgical care
"GOOD SAMARITAN HOSP, LP",0,1496,0.00,0.00,2.00,general surgical care
"MISSION OAKS HOSP, LOS GATOS",,,,,,general surgical care
"GOOD SAMARITAN HOSP, SAN JOSE",,,,,,general surgical care
HOAG ORTHOPEDIC HOSPITAL,0,69,0.00,0.00,43.42,general surgical care
HOSPITAL COMMITTEE AREA LIVERMORE PLEASANTON,0,562,0.00,0.00,5.33,general surgical care
"VALLEYCARE MEDICAL CENTER, PLEASANTON",,,,,,general surgical care
"VALLEY MEMORIAL HOSPITAL, LIVERMORE",,,,,,general surgical care
"HUNTINGTON MEMORIAL HOSP, PASADENA",0,2674,0.00,0.00,1.12,general surgical care
"JOHN F. KENNEDY MEMORIAL HOSP, INDIO",0,429,0.00,0.00,6.98,general surgical care
"JOHN MUIR MED CTR, CONCORD",0,1026,0.00,0.00,2.92,general surgical care
"JOHN MUIR MED CTR, WALNUT CREEK",0,1959,0.00,0.00,1.53,general surgical care
"KAISER FOUNDATION HOSP, LOS ANGELES",1,1949,0.51,0.01,2.86,general surgical care
"KAISER FOUNDATION HOSP, REDWOOD CITY",0,641,0.00,0.00,4.67,general surgical care
KAISER FOUNDATION HOSP-SAN JOSE,0,228,0.00,0.00,13.14,general surgical care
KAISER FOUNDATION HOSP-SANTA CLARA,1,1472,0.68,0.02,3.79,general surgical care
"KAISER FOUNDATION HOSP SOUTH BAY, HARBOR CITY",2,1998,1.00,0.12,3.62,general surgical care
"KAISER FOUNDATION HOSP-WEST LA, LOS ANGELES",0,440,0.00,0.00,6.81,general surgical care
"KAISER FOUNDATION HOSP, WOODLAND HILLS",0,451,0.00,0.00,6.64,general surgical care
KAISER FOUNDATION HOSPS,,,,,,general surgical care
"KAISER FOUNDATION HOSP, FONTANA",0,4868,0.00,0.00,0.62,general surgical care
KAISER FOUNDATION HOSPS,0,1529,0.00,0.00,1.96,general surgical care
"KAISER FOUNDATION HOSP, OAKLAND/RICHMOND",,,,,,general surgical care
"KAISER FOUNDATION HOSP, RICHMOND CAMPUS",,,,,,general surgical care
"KAWEAH DELTA MED CTR, VISALIA",4,2222,1.80,0.49,4.61,general surgical care
"KECK HOSP OF USC, LOS ANGELES",1,1887,0.53,0.01,2.95,general surgical care
"LAC/HARBOR-UCLA MED CTR, TORRANCE",1,999,1.00,0.03,5.58,general surgical care
"LAC/RANCHO LOS AMIGOS NATIONAL REHAB CTR, DOWNEY",0,2911,0.00,0.00,1.03,general surgical care
LOMA LINDA UNIVERSITY MED CTR,6,2187,2.74,1.01,5.97,general surgical care
"LOMA LINDA UNIV HEART & SURGICAL HOSP, REDLANDS",,,,,,general surgical care
"LOMA LINDA UNIV MED CTR EAST HOSP, LOMA LINDA",,,,,,general surgical care
"LOMA LINDA UNIV MED CTR, LOMA LINDA",,,,,,general surgical care
LOMA LINDA UNIVERSITY MEDICAL CENTER - MURRIETA,0,481,0.00,0.00,6.23,general surgical care
"LONG BEACH MEMORIAL MED CTR, LONG BEACH",1,1705,0.59,0.01,3.27,general surgical care
LOS ALAMITOS MED CTR,0,382,0.00,0.00,7.84,general surgical care
LOS ROBLES REGIONAL MED CTR,0,1136,0.00,0.00,2.64,general surgical care
"LOS ROBLES HOSP & MED CTR, E , THOUSAND OAKS",,,,,,general surgical care
"LOS ROBLES HOSP & MED CTR, THOUSAND OAKS",,,,,,general surgical care
THOUSAND OAKS SURGICAL HOSPITAL,,,,,,general surgical care
"MARIN GENERAL HOSP, GREENBRAE",2,1019,1.96,0.24,7.09,general surgical care
MARINA DEL REY HOSP,0,67,0.00,0.00,44.71,general surgical care
"MEMORIAL MED CTR, MODESTO",0,4290,0.00,0.00,0.70,general surgical care
MENLO PARK SURGICAL HOSP,0,2,,,,general surgical care
"MERCY GENERAL HOSP, SACRAMENTO",0,1988,0.00,0.00,1.51,general surgical care
MERCY MED CTR MERCED,2,1063,1.88,0.23,6.80,general surgical care
MERCY MED CTR REDDING,1,1024,0.98,0.02,5.44,general surgical care
"MERCY SAN JUAN MED CTR, CARMICHAEL",1,1288,0.78,0.02,4.33,general surgical care
METHODIST HOSP OF SACRAMENTO,1,2060,0.49,0.01,2.70,general surgical care
"METHODIST HOSP OF SOUTHERN CA, ARCADIA",1,937,1.07,0.03,5.95,general surgical care
NORTHBAY HEALTHCARE GROUP,,,,,,general surgical care
"NORTHBAY MED CTR, FAIRFIELD",1,888,1.13,0.03,6.27,general surgical care
"O'CONNOR HOSP, SAN JOSE",0,969,0.00,0.00,3.09,general surgical care
"OLYMPIA MED CTR, LOS ANGELES",0,331,0.00,0.00,9.05,general surgical care
"ORANGE COAST MEMORIAL MED CTR, FOUNTAIN VALLEY",0,468,0.00,0.00,6.40,general surgical care
PACIFIC HOSP OF LONG BEACH,0,45,,,,general surgical care
PALOMAR HEALTH,1,2331,0.43,0.01,2.39,general surgical care
"PALOMAR HEALTH DOWNTOWN CAMPUS, ESCONDIDO",,,,,,general surgical care
"PALOMAR MED CTR, ESCONDIDO",,,,,,general surgical care
"PARKVIEW COMMUNITY HOSP MED CTR, RIVERSIDE",0,472,0.00,0.00,6.35,general surgical care
"PRESBYTERIAN INTERCOMMUNITY HOSP, WHITTIER",0,1355,0.00,0.00,2.21,general surgical care
"PROVIDENCE HOLY CROSS MED CTR, MISSION HILLS",0,585,0.00,0.00,5.12,general surgical care
"PROVIDENCE SAINT JOSEPH MED CTR, BURBANK",3,1065,2.82,0.58,8.23,general surgical care
"QUEEN OF THE VALLEY MED CTR, NAPA",0,11,,,,general surgical care
REDLANDS COMMUNITY HOSP,2,767,2.61,0.32,9.42,general surgical care
RIVERSIDE COMMUNITY HOSP,1,4850,0.21,0.01,1.15,general surgical care
"RIVERSIDE COUNTY REGIONAL MED CTR, MORENO VALLEY",2,3750,0.53,0.06,1.93,general surgical care
"RONALD REAGAN UCLA MED CTR, LOS ANGELES",4,2571,1.56,0.42,3.98,general surgical care
"SAINT AGNES MED CTR, FRESNO",1,1024,0.98,0.02,5.44,general surgical care
"SAINT JOHN'S HEALTH CTR, SANTA MONICA",0,546,0.00,0.00,5.49,general surgical care
SAN FRANCISCO GENERAL HOSP,0,1657,0.00,0.00,1.81,general surgical care
"SAN JOAQUIN COMMUNITY HOSP, BAKERSFIELD",1,934,1.07,0.03,5.97,general surgical care
SANTA BARBARA COTTAGE HOSPITAL,0,501,0.00,0.00,5.98,general surgical care
SANTA BARBARA COTTAGE HOSP,,,,,,general surgical care
REHABILITATION INSTITUTE AT SANTA BARBARA,,,,,,general surgical care
"SANTA CLARA VALLEY MED CTR, SAN JOSE",0,2421,0.00,0.00,1.24,general surgical care
"SANTA MONICA, UCLA MED CTR AND ORTHOPAEDIC",1,2067,0.48,0.01,2.70,general surgical care
SANTA ROSA MEMORIAL HOSP,0,1536,0.00,0.00,1.95,general surgical care
"SCRIPPS GREEN HOSP, LA JOLLA",0,1002,0.00,0.00,2.99,general surgical care
SCRIPPS HEALTH,11,7207,1.53,0.76,2.73,general surgical care
"SCRIPPS MERCY HOSP, SAN DIEGO",,,,,,general surgical care
SCRIPPS MERCY HOSP CHULA VISTA,,,,,,general surgical care
"SCRIPPS MEMORIAL HOSP, ENCINITAS",0,1490,0.00,0.00,2.01,general surgical care
"SCRIPPS MEMORIAL HOSP, LA JOLLA",3,2774,1.08,0.22,3.16,general surgical care
SETON MED CTR,0,798,0.00,0.00,3.75,general surgical care
"SETON MED CTR-COASTSIDE, MOSS BEACH",,,,,,general surgical care
"SETON MED CTR, DALY CITY",,,,,,general surgical care
"SHARP MEMORIAL HOSP, SAN DIEGO",0,3893,0.00,0.00,0.77,general surgical care
"SIERRA NEVADA MEMORIAL HOSP, GRASS VALLEY",1,559,1.79,0.05,9.97,general surgical care
ST BERNARDINE MED CTR,0,1062,0.00,0.00,2.82,general surgical care
"ST JOSEPH HOSP, ORANGE",1,2450,0.41,0.01,2.27,general surgical care
"ST JUDE MED CTR, FULLERTON",0,106,0.00,0.00,28.26,general surgical care
"ST MARY'S MED CTR, SAN FRANCISCO",0,1127,0.00,0.00,2.66,general surgical care
"STANFORD HOSP, STANFORD",4,10682,0.37,0.10,0.96,general surgical care
"STANISLAUS SURGICAL HOSP, MODESTO",0,9,,,,general surgical care
"SUTTER DELTA MED CTR, ANTIOCH",0,250,0.00,0.00,11.98,general surgical care
SUTTER HEALTH SACRAMENTO SIERRA REGION,0,1981,0.00,0.00,1.51,general surgical care
"SUTTER GENERAL HOSP, SACRAMENTO",,,,,,general surgical care
"SUTTER MEMORIAL HOSP, SACRAMENTO",,,,,,general surgical care
"SUTTER MED CTR, CASTRO VALLEY",0,690,0.00,0.00,4.34,general surgical care
"EDEN MED CTR, CASTRO VALLEY",,,,,,general surgical care
SAN LEANDRO HOSP,,,,,,general surgical care
SUTTER ROSEVILLE MED CTR,0,893,0.00,0.00,3.35,general surgical care
"SUTTER SURGICAL HOSP, NORTH VALLEY, YUBA CITY",0,8,,,,general surgical care
"TORRANCE MEMORIAL MED CTR, TORRANCE",0,1207,0.00,0.00,2.48,general surgical care
"TRI-CITY MED CTR, OCEANSIDE",0,927,0.00,0.00,3.23,general surgical care
"UHS-CORONA, INC.",0,373,0.00,0.00,8.03,general surgical care
"CORONA REGIONAL MED CTR, CAMPUS #1",,,,,,general surgical care
"CORONA REGIONAL MED CTR, CAMPUS #2",,,,,,general surgical care
"UNIVERSITY OF CALIFORNIA DAVIS MED CTR, SACRAMENTO",8,10966,0.73,0.31,1.44,general surgical care
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",1,9272,0.11,0.00,0.60,general surgical care
"UCSF MED CTR, SAN FRANCISCO",,,,,,general surgical care
"UCSF MED CTR AT MOUNT ZION, SAN FRANCISCO",,,,,,general surgical care
"VICTOR VALLEY COMMUNITY HOSP, VICTORVILLE",0,42,,,,general surgical care
"WASHINGTON HOSP, FREMONT",2,1233,1.6,0.20,5.86,general surgical care
"WEST ANAHEIM MED CTR, ANAHEIM",1,293,3.4,0.09,19.02,general surgical care
WESTERN MED CTR SANTA ANA,0,386,0.0,0.00,7.76,general surgical care
"WHITE MEMORIAL MED CTR, LOS ANGELES",0,505,0.0,0.00,5.93,general surgical care
STATE OF CALIFORNIA POOLED DATA,188,236062,0.80,,,long term acute care
"BARLOW RESPIRATORY HOSP, LOS ANGELES",21,6925,3.03,1.88,4.64,long term acute care
"KENTFIELD REHAB & SPECIALTY HOSP, KENTFIELD",9,11434,0.79,0.36,1.49,long term acute care
"KINDRED HOSP, BALDWIN PARK",1,7360,0.14,0.00,0.76,long term acute care
"KINDRED HOSP, BREA",3,10136,0.30,0.06,0.86,long term acute care
KINDRED HOSP-LOS ANGELES,28,15912,1.76,1.17,2.54,long term acute care
"KINDRED HOSP, ONTARIO",4,17495,0.23,0.06,0.59,long term acute care
"KINDRED HOSP RANCHO, RANCHO CUCAMONGA",18,9800,1.84,1.09,2.90,long term acute care
"KINDRED HOSP RIVERSIDE, PERRIS",4,7322,0.55,0.15,1.40,long term acute care
"KINDRED HOSP-SACRAMENTO, FOLSOM",7,8149,0.86,0.35,1.77,long term acute care
KINDRED HOSP-SAN DIEGO,6,7975,0.75,0.28,1.64,long term acute care
"KINDRED HOSP-SAN FRANCISCO BAY AREA, SAN LEANDRO",14,8527,1.64,0.90,2.75,long term acute care
"KINDRED HOSP SOUTH BAY, GARDENA",5,16452,0.30,0.10,0.71,long term acute care
"KINDRED HOSP, WESTMINSTER",16,23436,0.68,0.39,1.11,long term acute care
MONROVIA MEMORIAL HOSP,9,5795,1.55,0.71,2.95,long term acute care
"NEWPORT SPECIALTY HOSP, TUSTIN",0,4269,0.00,0.00,0.70,long term acute care
"NORTHERN CA REHAB HOSP, REDDING",8,9405,0.85,0.37,1.68,long term acute care
"PROMISE HOSP OF EAST LOS ANGELES, L.P.",,,,,,long term acute care
"PROMISE HOSP OF EAST LA-SUBURBAN CAMPUS, PARAMOUNT",3,21445,0.14,0.03,0.41,long term acute care
"PROMISE HOSP OF EAST LA-EAST L.A CAMPUS, LOS ANGELES",4,4593,0.87,0.24,2.23,long term acute care
PROMISE HOSP OF SAN DIEGO,7,4193,1.67,0.67,3.44,long term acute care
"SOUTHERN CALIFORNIA SPECIALTY CARE, INC.",,,,,,long term acute care
"KINDRED HOSP, LA MIRADA",2,9198,0.22,0.03,0.79,long term acute care
"KINDRED HOSP-SAN GABRIEL VALLEY, WEST COVINA",0,5178,0.00,0.00,0.58,long term acute care
"KINDRED HOSP, SANTA ANA",6,9723,0.62,0.23,1.34,long term acute care
"VIBRA HOSP OF SAN DIEGO, SAN DIEGO",13,11340,1.2,0.61,1.96,long term acute care
STATE OF CALIFORNIA POOLED DATA,11,33930,0.32,,,general rehabilitation care
ALAMEDA COUNTY MED CTR,0,438,0.00,0.00,6.84,general rehabilitation care
"ALAMEDA COUNTY MED CTR, OAKLAND",,,,,,general rehabilitation care
"ALAMEDA COUNTY MED CTR-FAIRMONT CAMPUS, SAN LEANDRO",,,,,,general rehabilitation care
ALHAMBRA HOSP MED CTR,0,163,0.00,0.00,18.38,general rehabilitation care
"ALVARADO HOSP, LLC",1,163,6.13,0.16,34.18,general rehabilitation care
"ALVARADO HOSP MED CTR, CAMPUS #1, SAN DIEGO",,,,,,general rehabilitation care
"ALVARADO HOSP MED CTR, CAMPUS #2, SAN DIEGO",,,,,,general rehabilitation care
"BALLARD REHAB HOSP, SAN BERNARDINO",0,1050,0.00,0.00,2.85,general rehabilitation care
"BROTMAN MED CTR, CULVER CITY",0,658,0.00,0.00,4.55,general rehabilitation care
"CASA COLINA HOSP FOR REHABILITATIVE MEDICINE, POMONA",1,2439,0.41,0.01,2.28,general rehabilitation care
"CEDARS-SINAI MED CTR, LOS ANGELES",0,798,0.00,0.00,3.75,general rehabilitation care
"COMMUNITY REGIONAL MED CTR, FRESNO",2,740,2.70,0.33,9.76,general rehabilitation care
"DESERT REGIONAL MED CTR, PALM SPRINGS",0,124,0.00,0.00,24.16,general rehabilitation care
DIGNITY HEALTH,0,533,0.00,0.00,5.62,general rehabilitation care
"DOMINICAN HOSP CAMPUS #1, SANTA CRUZ",,,,,,general rehabilitation care
"DOMINICAN HOSP CAMPUS #2, SANTA CRUZ",,,,,,general rehabilitation care
"EISENHOWER MED CTR, RANCHO MIRAGE",0,450,0.00,0.00,6.66,general rehabilitation care
"EL CAMINO HOSP, LOS GATOS",0,401,0.00,0.00,7.47,general rehabilitation care
ENLOE MED CTR,0,841,0.00,0.00,3.56,general rehabilitation care
"ENLOE MED CTR-COHASSET, CHICO",,,,,,general rehabilitation care
"ENLOE MED CTR-ESPLANADE, CHICO",,,,,,general rehabilitation care
"ENLOE REHABILITATION CTR, CHICO",,,,,,general rehabilitation care
"GARFIELD MED CTR, MONTEREY PARK",0,246,0.00,0.00,12.18,general rehabilitation care
GLENDALE ADVENTIST MED CTR,0,336,0.00,0.00,8.92,general rehabilitation care
GLENDALE MEMORIAL HOSP AND HEALTH CTR,0,263,0.00,0.00,11.39,general rehabilitation care
"GOOD SAMARITAN HOSP, LP",0,173,0.00,0.00,17.32,general rehabilitation care
"MISSION OAKS HOSP, LOS GATOS",,,,,,general rehabilitation care
"GOOD SAMARITAN HOSP, SAN JOSE",,,,,,general rehabilitation care
"GROSSMONT HOSP, LA MESA",0,391,0.00,0.00,7.66,general rehabilitation care
HEALTHSOUTH BAKERSFIELD REHABILITATION HOSP,0,3092,0.00,0.00,0.97,general rehabilitation care
HEALTHSOUTH TUSTIN REHABILITATION HOSP,0,819,0.00,0.00,3.66,general rehabilitation care
"HENRY MAYO NEWHALL MEMORIAL HOSP, VALENCIA",0,84,0.00,0.00,35.66,general rehabilitation care
"HOLLYWOOD PRESBYTERIAN MED CTR, LOS ANGELES",0,326,0.00,0.00,9.19,general rehabilitation care
"HUNTINGTON MEMORIAL HOSP, PASADENA",0,261,0.00,0.00,11.48,general rehabilitation care
"JOHN MUIR MED CTR, WALNUT CREEK",0,459,0.00,0.00,6.53,general rehabilitation care
"KAISER FOUNDATION HOSP & REHAB. CTR, VALLEJO",0,193,0.00,0.00,15.52,general rehabilitation care
"KAWEAH DELTA MED CTR, VISALIA",0,314,0.00,0.00,9.54,general rehabilitation care
"LAC/RANCHO LOS AMIGOS NATIONAL REHAB CTR, DOWNEY",0,2369,0.00,0.00,1.26,general rehabilitation care
"LODI MEMORIAL HOSP ASSOCIATION, INC.",0,247,0.00,0.00,12.13,general rehabilitation care
LODI MEMORIAL HOSP 1RH,,,,,,general rehabilitation care
LODI MEMORIAL HOSP-WEST,,,,,,general rehabilitation care
LOMA LINDA UNIVERSITY MED CTR,0,875,0.00,0.00,3.42,general rehabilitation care
"LOMA LINDA UNIV HEART & SURGICAL HOSP, REDLANDS",,,,,,general rehabilitation care
"LOMA LINDA UNIV MED CTR EAST HOSP, LOMA LINDA",,,,,,general rehabilitation care
"LOMA LINDA UNIV MED CTR, LOMA LINDA",,,,,,general rehabilitation care
"LONG BEACH MEMORIAL MED CTR, LONG BEACH",3,671,4.47,0.92,13.07,general rehabilitation care
LOS ROBLES REGIONAL MED CTR,0,226,0.00,0.00,13.26,general rehabilitation care
"LOS ROBLES HOSP & MED CTR, E , THOUSAND OAKS",,,,,,general rehabilitation care
"LOS ROBLES HOSP & MED CTR, THOUSAND OAKS",,,,,,general rehabilitation care
THOUSAND OAKS SURGICAL HOSPITAL,,,,,,general rehabilitation care
"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE",0,207,0.00,0.00,14.47,general rehabilitation care
"MERCY GENERAL HOSP, SACRAMENTO",0,278,0.00,0.00,10.78,general rehabilitation care
"METHODIST HOSP OF SOUTHERN CA, ARCADIA",1,80,12.50,0.32,69.65,general rehabilitation care
MISSION HOSP REGIONAL MED CTR,,,,,,general rehabilitation care
"MISSION HOSP REGIONAL MED CTR, MISSION VIEJO",0,632,0.00,0.00,4.74,general rehabilitation care
NORTHRIDGE HOSP MED CTR,0,321,0.00,0.00,9.33,general rehabilitation care
PACIFIC ALLIANCE MED CTR,0,202,0.00,0.00,14.83,general rehabilitation care
PALOMAR HEALTH,0,719,0.00,0.00,4.17,general rehabilitation care
"PALOMAR HEALTH DOWNTOWN CAMPUS, ESCONDIDO",,,,,,general rehabilitation care
"PALOMAR MED CTR, ESCONDIDO",,,,,,general rehabilitation care
"PARADISE VALLEY HOSP, NATIONAL CITY",0,144,0.00,0.00,20.80,general rehabilitation care
"PROVIDENCE HOLY CROSS MED CTR, MISSION HILLS",0,255,0.00,0.00,11.75,general rehabilitation care
"PROVIDENCE LITTLE COMPANY OF MARY MED CTR, SAN PEDRO",0,360,0.00,0.00,8.32,general rehabilitation care
"PROVIDENCE SAINT JOSEPH MED CTR, BURBANK",0,307,0.00,0.00,9.76,general rehabilitation care
"QUEEN OF THE VALLEY MED CTR, NAPA",0,282,0.00,0.00,10.62,general rehabilitation care
"RONALD REAGAN UCLA MED CTR, LOS ANGELES",0,303,0.00,0.00,9.89,general rehabilitation care
"SAINT FRANCIS MEMORIAL HOSP, SAN FRANCISCO",1,296,3.38,0.09,18.82,general rehabilitation care
"SAINT VINCENT MED CTR, LOS ANGELES",1,155,6.45,0.16,35.95,general rehabilitation care
"SAN JOAQUIN VALLEY REHAB HOSP, FRESNO",0,854,0.00,0.00,3.51,general rehabilitation care
SANTA BARBARA COTTAGE HOSPITAL,0,675,0.00,0.00,4.44,general rehabilitation care
SANTA BARBARA COTTAGE HOSP,,,,,,general rehabilitation care
REHABILITATION INSTITUTE AT SANTA BARBARA,,,,,,general rehabilitation care
"SANTA CLARA VALLEY MED CTR, SAN JOSE",0,689,0.00,0.00,4.35,general rehabilitation care
SANTA ROSA MEMORIAL HOSP,0,318,0.00,0.00,9.42,general rehabilitation care
"SCRIPPS MEMORIAL HOSP, ENCINITAS",0,599,0.00,0.00,5.00,general rehabilitation care
"SHARP MEMORIAL HOSP, SAN DIEGO",0,940,0.00,0.00,3.19,general rehabilitation care
SONORA REGIONAL MED CTR,0,680,0.00,0.00,4.41,general rehabilitation care
SONORA REGIONAL MED CTR CAMPUS #1,,,,,,general rehabilitation care
SONORA REGIONAL MED CTR CAMPUS #2,,,,,,general rehabilitation care
"ST JOHN'S REGIONAL MED CTR, OXNARD",1,448,2.2,0.06,12.44,general rehabilitation care
ST JOSEPH HOSP EUREKA,,,,,,general rehabilitation care
"THE GENERAL HOSP, EUREKA",0,181,0.0,0.00,16.55,general rehabilitation care
"ST JUDE MED CTR, FULLERTON",0,444,0.0,0.00,6.75,general rehabilitation care
"ST MARY MED CTR, LONG BEACH",0,538,0.0,0.00,5.57,general rehabilitation care
"ST MARY'S MED CTR, SAN FRANCISCO",0,625,0.0,0.00,4.79,general rehabilitation care
"TRI-CITY MED CTR, OCEANSIDE",0,217,0.0,0.00,13.81,general rehabilitation care
"UNIVERSITY OF CALIFORNIA DAVIS MED CTR, SACRAMENTO",0,1203,0.0,0.00,2.49,general rehabilitation care
"UNIVERSITY OF CALIFORNIA IRVINE MED CTR, ORANGE",0,195,0.0,0.00,15.36,general rehabilitation care
"VALLEY PRESBYTERIAN HOSP, VAN NUYS",0,373,0.0,0.00,8.03,general rehabilitation care
"WHITE MEMORIAL MED CTR, LOS ANGELES",0,267,0.0,0.00,11.22,general rehabilitation care
STATE OF CALIFORNIA POOLED DATA,3,3248,0.92,,,"general labor, delivery, recovery, and post- partum care"
"AHMC ANAHEIM REGIONAL MED CTR, ANAHEIM",0,35,,,,"general labor, delivery, recovery, and post- partum care"
"BANNER LASSEN MED CTR, SUSANVILLE",0,1,,,,"general labor, delivery, recovery, and post- partum care"
BARSTOW COMMUNITY HOSP,0,6,,,,"general labor, delivery, recovery, and post- partum care"
"CALIFORNIA PACIFIC MED CTR, ST LUKE'S CAMPUS, SAN FRANCISCO",0,11,,,,"general labor, delivery, recovery, and post- partum care"
"CEDARS-SINAI MED CTR, LOS ANGELES",0,14,,,,"general labor, delivery, recovery, and post- partum care"
"COMMUNITY HOSP OF THE MONTEREY PENINSULA, MONTEREY",0,1,,,,"general labor, delivery, recovery, and post- partum care"
COMMUNITY HOSP OF SAN BERNARDINO,0,8,,,,"general labor, delivery, recovery, and post- partum care"
"COMMUNITY MEMORIAL HOSP, SAN BUENAVENTURA, VENTURA",0,14,,,,"general labor, delivery, recovery, and post- partum care"
"COMMUNITY REGIONAL MED CTR, FRESNO",0,29,,,,"general labor, delivery, recovery, and post- partum care"
"DAMERON HOSP, STOCKTON",0,6,,,,"general labor, delivery, recovery, and post- partum care"
DIGNITY HEALTH,0,4,,,,"general labor, delivery, recovery, and post- partum care"
"DOMINICAN HOSP CAMPUS #1, SANTA CRUZ",,,,,,"general labor, delivery, recovery, and post- partum care"
"DOMINICAN HOSP CAMPUS #2, SANTA CRUZ",,,,,,"general labor, delivery, recovery, and post- partum care"
DOCTORS HOSP OF MANTECA,0,2,,,,"general labor, delivery, recovery, and post- partum care"
"DOCTORS MED CTR, MODESTO",0,13,,,,"general labor, delivery, recovery, and post- partum care"
EL CAMINO HOSP,,,,,,"general labor, delivery, recovery, and post- partum care"
