hosp,cases,lineDays,rate,ciLow,ciHigh,adherence,area
"CEDARS-SINAI MED CTR, LOS ANGELES",0,436,0.00,0.00,6.87,0,pediatric critical care
CHILDRENS HOSP AND RESEARCH CTR AT OAKLAND,2,2541,0.79,0.10,2.84,96.6,pediatric critical care
"CHILDREN'S HOSP AT MISSION, MISSION VIEJO",0,143,0.00,0.00,20.95,100,pediatric critical care
"CHILDREN'S HOSP CENTRAL CA, MADERA",11,6898,1.59,0.80,2.85,100,pediatric critical care
CHILDRENS HOSP OF LOS ANGELES,9,9804,0.92,0.42,1.74,96.8,pediatric critical care
"CHILDREN'S HOSP OF ORANGE COUNTY, ORANGE",7,4756,1.47,0.59,3.03,97.3,pediatric critical care
COUNTY OF VENTURA,0,86,0.00,0.00,34.83,92.3,pediatric critical care
VENTURA COUNTY MED CTR,,,,,,,pediatric critical care
"VENTURA COUNTY MED CTR, SANTA PAULA HOSP",,,,,,,pediatric critical care
"EARL & LORAINE MILLER CHILDREN'S HOSP, LONG BEACH",4,2523,1.59,0.43,4.06,100,pediatric critical care
FOUNTAIN VALLEY REGIONAL HOSP & MED CTR,1,464,2.16,0.05,12.01,90.0,pediatric critical care
FOUNTAIN VALLEY REGIONAL HOSP & MED CTR,,,,,,,pediatric critical care
"GOOD SAMARITAN HOSP, LP",0,115,0.00,0.00,26.05,100,pediatric critical care
"MISSION OAKS HOSP, LOS GATOS",,,,,,,pediatric critical care
"GOOD SAMARITAN HOSP, SAN JOSE",,,,,,,pediatric critical care
"HUNTINGTON MEMORIAL HOSP, PASADENA",0,92,0.00,0.00,32.56,87.5,pediatric critical care
"KAISER FOUNDATION HOSP-DOWNEY, BELLFLOWER",0,104,0.00,0.00,28.81,100,pediatric critical care
"KAISER FOUNDATION HOSP, LOS ANGELES",4,1903,2.10,0.57,5.38,95.9,pediatric critical care
"KAISER FOUNDATION HOSP, ROSEVILLE",0,530,0.00,0.00,5.65,91.8,pediatric critical care
KAISER FOUNDATION HOSP-SANTA CLARA,0,523,0.00,0.00,5.73,82.9,pediatric critical care
KAISER FOUNDATION HOSPS,,,,,,,pediatric critical care
"KAISER FOUNDATION HOSP, FONTANA",0,306,0.00,0.00,9.79,88.9,pediatric critical care
KAISER FOUNDATION HOSPS,3,763,3.93,0.81,11.49,100,pediatric critical care
"KAISER FOUNDATION HOSP, OAKLAND/RICHMOND",,,,,,,pediatric critical care
"KAISER FOUNDATION HOSP, RICHMOND CAMPUS",,,,,,,pediatric critical care
"LAC+USC MED CTR, LOS ANGELES",0,332,0.00,0.00,9.02,100,pediatric critical care
"LAC/HARBOR-UCLA MED CTR, TORRANCE",1,551,1.81,0.05,10.11,90.5,pediatric critical care
LOMA LINDA UNIVERSITY MED CTR,9,9733,0.92,0.42,1.76,89.0,pediatric critical care
"LOMA LINDA UNIV HEART & SURGICAL HOSP, REDLANDS",,,,,,,pediatric critical care
"LOMA LINDA UNIV MED CTR EAST HOSP, LOMA LINDA",,,,,,,pediatric critical care
"LOMA LINDA UNIV MED CTR, LOMA LINDA",,,,,,,pediatric critical care
"LUCILE SALTER PACKARD CHILDREN'S HOSP AT STANFORD, PALO ALTO",15,9408,1.59,0.89,2.63,99.9,pediatric critical care
NORTHRIDGE HOSP MED CTR,0,291,0.00,0.00,10.29,100,pediatric critical care
"PROVIDENCE TARZANA MED CTR, TARZANA",0,33,,,92.6,,pediatric critical care
"RADY CHILDREN'S HOSP, SAN DIEGO",4,6812,0.59,0.16,1.50,88.9,pediatric critical care
"RIVERSIDE COUNTY REGIONAL MED CTR, MORENO VALLEY",0,275,0.00,0.00,10.89,91.3,pediatric critical care
"RONALD REAGAN UCLA MED CTR, LOS ANGELES",7,5890,1.19,0.48,2.45,95.9,pediatric critical care
SANTA BARBARA COTTAGE HOSPITAL,0,247,0.00,0.00,12.13,100,pediatric critical care
SANTA BARBARA COTTAGE HOSP,,,,,,,pediatric critical care
REHABILITATION INSTITUTE AT SANTA BARBARA,,,,,,,pediatric critical care
"SANTA CLARA VALLEY MED CTR, SAN JOSE",1,470,2.13,0.05,11.85,100,pediatric critical care
"SANTA MONICA, UCLA MED CTR AND ORTHOPAEDIC",0,257,0.00,0.00,11.66,83.3,pediatric critical care
"SHRINERS HOSPS FOR CHILDREN NORTH CA, SACRAMENTO",4,1321,3.03,0.83,7.75,100,pediatric critical care
SUTTER HEALTH SACRAMENTO SIERRA REGION,1,1481,0.68,0.02,3.76,91.7,pediatric critical care
"SUTTER GENERAL HOSP, SACRAMENTO",,,,,,,pediatric critical care
"SUTTER MEMORIAL HOSP, SACRAMENTO",,,,,,,pediatric critical care
SUTTER WEST BAY HOSPS,0,269,0.00,0.00,11.14,100,pediatric critical care
"CALIFORNIA PACIFIC MED CTR, CA WEST CAM HOSP, S F",,,,,,,pediatric critical care
"CALIFORNIA PACIFIC MED CTR, PACIFIC CAM HOSP, S F",,,,,,,pediatric critical care
"UNIVERSITY OF CALIFORNIA DAVIS MED CTR, SACRAMENTO",3,2036,1.47,0.30,4.31,97.0,pediatric critical care
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",10,3428,2.92,1.40,5.36,96.6,pediatric critical care
"UCSF MED CTR, SAN FRANCISCO",,,,,,,pediatric critical care
"UCSF MED CTR AT MOUNT ZION, SAN FRANCISCO",,,,,,,pediatric critical care
"VALLEY PRESBYTERIAN HOSP, VAN NUYS",0,27,,,100,,pediatric critical care
WESTERN MED CTR SANTA ANA,0,13,,,100,,pediatric critical care
"WHITE MEMORIAL MED CTR, LOS ANGELES",0,34,,,83.3,,pediatric critical care
STATE OF CALIFORNIA POOLED DATA,36,29956,1.20,96.2,,,critical care for neonates weighing less than or equal to 750 grams at birth
"AHMC ANAHEIM REGIONAL MED CTR, ANAHEIM",1,81,12.35,0.31,68.79,ND,critical care for neonates weighing less than or equal to 750 grams at birth
"ANTELOPE VALLEY HOSP, LANCASTER",1,228,4.39,0.11,24.44,100,critical care for neonates weighing less than or equal to 750 grams at birth
"ARROWHEAD RGN MED CTR, COLTON",1,197,5.08,0.13,28.28,100,critical care for neonates weighing less than or equal to 750 grams at birth
BAKERSFIELD MEMORIAL HOSP,0,144,0.00,0.00,20.80,100,critical care for neonates weighing less than or equal to 750 grams at birth
"CALIFORNIA HOSP MED CTR, LOS ANGELES",0,142,0.00,0.00,21.10,100,critical care for neonates weighing less than or equal to 750 grams at birth
"CEDARS-SINAI MED CTR, LOS ANGELES",1,244,4.10,0.10,22.83,95.0,critical care for neonates weighing less than or equal to 750 grams at birth
"CENTINELA HOSP MED CTR, INGLEWOOD",0,41,,,100,,critical care for neonates weighing less than or equal to 750 grams at birth
CHILDRENS HOSP AND RESEARCH CTR AT OAKLAND,0,109,0.00,0.00,27.48,93.2,critical care for neonates weighing less than or equal to 750 grams at birth
"CHILDREN'S HOSP AT MISSION, MISSION VIEJO",0,10,,,100,,critical care for neonates weighing less than or equal to 750 grams at birth
"CHILDREN'S HOSP CENTRAL CA, MADERA",4,1558,2.57,0.70,6.57,99.2,critical care for neonates weighing less than or equal to 750 grams at birth
CHILDRENS HOSP OF LOS ANGELES,0,1986,0.00,0.00,1.51,ND,critical care for neonates weighing less than or equal to 750 grams at birth
"CHILDREN'S HOSP OF ORANGE COUNTY, ORANGE",0,1057,0.00,0.00,2.83,99.5,critical care for neonates weighing less than or equal to 750 grams at birth
"CITRUS VALLEY MED CTR, INC.",0,263,0.00,0.00,11.39,97.7,critical care for neonates weighing less than or equal to 750 grams at birth
"CITRUS VALLEY MED CTR, IC , COVINA",,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
"CITRUS VALLEY MED CTR, QV, WEST COVINA",,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
COMMUNITY HOSP OF SAN BERNARDINO,0,3,,,100,,critical care for neonates weighing less than or equal to 750 grams at birth
"COMMUNITY MEMORIAL HOSP, SAN BUENAVENTURA, VENTURA",0,185,0.00,0.00,16.19,100,critical care for neonates weighing less than or equal to 750 grams at birth
"COMMUNITY REGIONAL MED CTR, FRESNO",2,919,2.18,0.26,7.86,86.4,critical care for neonates weighing less than or equal to 750 grams at birth
COUNTY OF VENTURA,0,8,,,96.6,,critical care for neonates weighing less than or equal to 750 grams at birth
VENTURA COUNTY MED CTR,,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
"VENTURA COUNTY MED CTR, SANTA PAULA HOSP",,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
"DAMERON HOSP, STOCKTON",0,70,0.00,0.00,42.80,100,critical care for neonates weighing less than or equal to 750 grams at birth
"DESERT REGIONAL MED CTR, PALM SPRINGS",0,225,0.00,0.00,13.31,100,critical care for neonates weighing less than or equal to 750 grams at birth
DIGNITY HEALTH,0,1,,,100,,critical care for neonates weighing less than or equal to 750 grams at birth
"DOMINICAN HOSP CAMPUS #1, SANTA CRUZ",,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
"DOMINICAN HOSP CAMPUS #2, SANTA CRUZ",,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
DIGNITY HEALTH,1,106,9.43,0.24,52.56,100,critical care for neonates weighing less than or equal to 750 grams at birth
"MERCY HOSP, BAKERSFIELD",,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
"MERCY SOUTHWEST HOSP, BAKERSFIELD",,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
"DOCTORS MED CTR, MODESTO",0,244,0.00,0.00,12.28,90.2,critical care for neonates weighing less than or equal to 750 grams at birth
DOWNEY REGIONAL MED CTR,0,2,,,97.4,,critical care for neonates weighing less than or equal to 750 grams at birth
"EARL & LORAINE MILLER CHILDREN'S HOSP, LONG BEACH",2,1239,1.61,0.20,5.83,100,critical care for neonates weighing less than or equal to 750 grams at birth
EL CAMINO HOSP,,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
"EL CAMINO HOSP, MOUNTAIN VIEW",3,236,12.71,2.62,37.15,97.6,critical care for neonates weighing less than or equal to 750 grams at birth
FOUNTAIN VALLEY REGIONAL HOSP & MED CTR,0,130,0.00,0.00,23.04,90.9,critical care for neonates weighing less than or equal to 750 grams at birth
FOUNTAIN VALLEY REGIONAL HOSP & MED CTR,,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
GLENDALE ADVENTIST MED CTR,0,160,0.00,0.00,18.72,98.6,critical care for neonates weighing less than or equal to 750 grams at birth
GLENDALE MEMORIAL HOSP AND HEALTH CTR,0,45,,,100,,critical care for neonates weighing less than or equal to 750 grams at birth
"GOOD SAMARITAN HOSP, LOS ANGELES",0,537,0.00,0.00,5.58,100,critical care for neonates weighing less than or equal to 750 grams at birth
"GOOD SAMARITAN HOSP, LP",0,419,0.00,0.00,7.15,100,critical care for neonates weighing less than or equal to 750 grams at birth
"MISSION OAKS HOSP, LOS GATOS",,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
"GOOD SAMARITAN HOSP, SAN JOSE",,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
"HOAG MEMORIAL HOSP PRESBYTERIAN, INC",0,65,0.00,0.00,46.09,98.8,critical care for neonates weighing less than or equal to 750 grams at birth
"HOAG HOSPITAL, IRVINE",,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
"HOAG MEMORIAL HOSP PRESBYTERIAN, NEWPORT BEACH",,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
"HOLLYWOOD PRESBYTERIAN MED CTR, LOS ANGELES",0,312,0.00,0.00,9.60,97.5,critical care for neonates weighing less than or equal to 750 grams at birth
"HUNTINGTON MEMORIAL HOSP, PASADENA",0,442,0.00,0.00,6.78,92.4,critical care for neonates weighing less than or equal to 750 grams at birth
"JOHN MUIR MED CTR, WALNUT CREEK",1,123,8.13,0.21,45.30,95.9,critical care for neonates weighing less than or equal to 750 grams at birth
"KAISER FOUNDATION HOSP, BALDWIN PARK",0,18,,,100,,critical care for neonates weighing less than or equal to 750 grams at birth
"KAISER FOUNDATION HOSP-DOWNEY, BELLFLOWER",0,600,0.00,0.00,4.99,94.5,critical care for neonates weighing less than or equal to 750 grams at birth
"KAISER FOUNDATION HOSP, LOS ANGELES",1,207,4.83,0.12,26.92,91.8,critical care for neonates weighing less than or equal to 750 grams at birth
"KAISER FOUNDATION HOSP, PANORAMA CITY",0,16,,,100,,critical care for neonates weighing less than or equal to 750 grams at birth
"KAISER FOUNDATION HOSP, ROSEVILLE",0,211,0.00,0.00,14.20,74.6,critical care for neonates weighing less than or equal to 750 grams at birth
"KAISER FOUNDATION HOSP, SAN DIEGO",0,179,0.00,0.00,16.74,98.8,critical care for neonates weighing less than or equal to 750 grams at birth
"KAISER FOUNDATION HOSP, SAN FRANCISCO",0,137,0.00,0.00,21.87,100,critical care for neonates weighing less than or equal to 750 grams at birth
KAISER FOUNDATION HOSP-SANTA CLARA,0,299,0.00,0.00,10.02,98.5,critical care for neonates weighing less than or equal to 750 grams at birth
KAISER FOUNDATION HOSP-WALNUT CREEK,0,202,0.00,0.00,14.83,86.1,critical care for neonates weighing less than or equal to 750 grams at birth
KAISER FOUNDATION HOSPS,0,61,0.00,0.00,49.11,75.0,critical care for neonates weighing less than or equal to 750 grams at birth
KAISER FOUNDATION HOSP-ANAHEIM MEDICAL CENTER,,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
KAISER FOUNDATION HOSP-LAKEVIEW MEDICAL CENTER,,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
KAISER FOUNDATION HOSPS,,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
"KAISER FOUNDATION HOSP, FONTANA",1,322,3.11,0.08,17.30,89.7,critical care for neonates weighing less than or equal to 750 grams at birth
KAISER FOUNDATION HOSPS,0,35,,,82.6,,critical care for neonates weighing less than or equal to 750 grams at birth
"KAISER FOUNDATION HOSP, FREMONT",,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
"KAISER FOUNDATION HOSP, HAYWARD/FREMONT",,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
KAISER FOUNDATION HOSPS,0,177,0.00,0.00,16.93,100,critical care for neonates weighing less than or equal to 750 grams at birth
"KAISER FOUNDATION HOSP, OAKLAND/RICHMOND",,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
"KAISER FOUNDATION HOSP, RICHMOND CAMPUS",,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
"KERN MED CTR, BAKERSFIELD",0,315,0.00,0.00,9.51,96.5,critical care for neonates weighing less than or equal to 750 grams at birth
"LAC+USC MED CTR, LOS ANGELES",0,817,0.00,0.00,3.67,99.3,critical care for neonates weighing less than or equal to 750 grams at birth
"LAC/HARBOR-UCLA MED CTR, TORRANCE",2,326,6.13,0.74,22.16,90.6,critical care for neonates weighing less than or equal to 750 grams at birth
LOMA LINDA UNIVERSITY MED CTR,1,1581,0.63,0.02,3.52,78.8,critical care for neonates weighing less than or equal to 750 grams at birth
"LOMA LINDA UNIV HEART & SURGICAL HOSP, REDLANDS",,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
"LOMA LINDA UNIV MED CTR EAST HOSP, LOMA LINDA",,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
"LOMA LINDA UNIV MED CTR, LOMA LINDA",,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
LOS ROBLES REGIONAL MED CTR,0,13,,,100,,critical care for neonates weighing less than or equal to 750 grams at birth
"LOS ROBLES HOSP & MED CTR, E , THOUSAND OAKS",,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
"LOS ROBLES HOSP & MED CTR, THOUSAND OAKS",,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
"LUCILE SALTER PACKARD CHILDREN'S HOSP AT STANFORD, PALO ALTO",1,536,1.87,0.05,10.39,99.6,critical care for neonates weighing less than or equal to 750 grams at birth
MARIAN REGIONAL MEDICAL CENTER,,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
MARIAN REGIONAL MEDICAL CENTER,0,30,,,100,,critical care for neonates weighing less than or equal to 750 grams at birth
MERCY MED CTR REDDING,0,36,,,100,,critical care for neonates weighing less than or equal to 750 grams at birth
"MERCY SAN JUAN MED CTR, CARMICHAEL",0,444,0.00,0.00,6.75,98.7,critical care for neonates weighing less than or equal to 750 grams at birth
"METHODIST HOSP OF SOUTHERN CA, ARCADIA",0,28,,,100,,critical care for neonates weighing less than or equal to 750 grams at birth
"NATIVIDAD MED CTR, SALINAS",0,47,,,100,,critical care for neonates weighing less than or equal to 750 grams at birth
NORTHBAY HEALTHCARE GROUP,,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
"NORTHBAY MED CTR, FAIRFIELD",0,1,,,100,,critical care for neonates weighing less than or equal to 750 grams at birth
NORTHRIDGE HOSP MED CTR,0,87,0.00,0.00,34.43,100,critical care for neonates weighing less than or equal to 750 grams at birth
"PARKVIEW COMMUNITY HOSP MED CTR, RIVERSIDE",0,66,0.00,0.00,45.39,87.5,critical care for neonates weighing less than or equal to 750 grams at birth
"POMONA VALLEY HOSP MED CTR, POMONA",2,1875,1.07,0.13,3.85,96.6,critical care for neonates weighing less than or equal to 750 grams at birth
"PRESBYTERIAN INTERCOMMUNITY HOSP, WHITTIER",0,192,0.00,0.00,15.60,100,critical care for neonates weighing less than or equal to 750 grams at birth
"PROVIDENCE LITTLE COMPANY OF MARY MED CTR, TORRANCE",0,59,0.00,0.00,50.78,100,critical care for neonates weighing less than or equal to 750 grams at birth
"PROVIDENCE SAINT JOSEPH MED CTR, BURBANK",0,114,0.00,0.00,26.28,100,critical care for neonates weighing less than or equal to 750 grams at birth
"PROVIDENCE TARZANA MED CTR, TARZANA",0,84,0.00,0.00,35.66,100,critical care for neonates weighing less than or equal to 750 grams at birth
"RADY CHILDREN'S HOSP, SAN DIEGO",0,458,0.00,0.00,6.54,90.4,critical care for neonates weighing less than or equal to 750 grams at birth
REDLANDS COMMUNITY HOSP,0,138,0.00,0.00,21.71,94.6,critical care for neonates weighing less than or equal to 750 grams at birth
REGIONAL MED CTR OF SAN JOSE,0,1,,,100,,critical care for neonates weighing less than or equal to 750 grams at birth
RIVERSIDE COMMUNITY HOSP,0,200,0.00,0.00,14.98,100,critical care for neonates weighing less than or equal to 750 grams at birth
"RIVERSIDE COUNTY REGIONAL MED CTR, MORENO VALLEY",0,200,0.00,0.00,14.98,100,critical care for neonates weighing less than or equal to 750 grams at birth
"RONALD REAGAN UCLA MED CTR, LOS ANGELES",4,918,4.36,1.19,11.16,98.3,critical care for neonates weighing less than or equal to 750 grams at birth
SADDLEBACK MEMORIAL MED CTR,0,29,,,100,,critical care for neonates weighing less than or equal to 750 grams at birth
"SADDLEBACK MEMORIAL MED CTR, LAGUNA HILLS",,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
SADDLEBACK MEMORIAL MED CTR-SAN CLEMENTE,,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
"SAINT FRANCIS MED CTR, LYNWOOD",0,116,0.00,0.00,25.83,100,critical care for neonates weighing less than or equal to 750 grams at birth
"SAINT JOHN'S HEALTH CTR, SANTA MONICA",0,2,,,ND,,critical care for neonates weighing less than or equal to 750 grams at birth
SALINAS VALLEY MEMORIAL HOSP,0,20,,,92.3,,critical care for neonates weighing less than or equal to 750 grams at birth
"SAN ANTONIO COMMUNITY HOSP, UPLAND",0,156,0.00,0.00,19.20,98.4,critical care for neonates weighing less than or equal to 750 grams at birth
SAN FRANCISCO GENERAL HOSP,0,24,,,ND,,critical care for neonates weighing less than or equal to 750 grams at birth
"SAN GABRIEL VALLEY MED CTR, SAN GABRIEL",0,2,,,100,,critical care for neonates weighing less than or equal to 750 grams at birth
"SAN JOAQUIN COMMUNITY HOSP, BAKERSFIELD",0,220,0.00,0.00,13.62,100,critical care for neonates weighing less than or equal to 750 grams at birth
"SAN JOAQUIN GENERAL HOSP, FRENCH P",0,32,,,100,,critical care for neonates weighing less than or equal to 750 grams at birth
SANTA BARBARA COTTAGE HOSPITAL,0,54,0.00,0.00,55.48,100,critical care for neonates weighing less than or equal to 750 grams at birth
SANTA BARBARA COTTAGE HOSP,,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
REHABILITATION INSTITUTE AT SANTA BARBARA,,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
"SANTA CLARA VALLEY MED CTR, SAN JOSE",0,337,0.00,0.00,8.89,97.6,critical care for neonates weighing less than or equal to 750 grams at birth
"SANTA MONICA, UCLA MED CTR AND ORTHOPAEDIC",0,99,0.00,0.00,30.26,100,critical care for neonates weighing less than or equal to 750 grams at birth
SANTA ROSA MEMORIAL HOSP,0,2,,,100,,critical care for neonates weighing less than or equal to 750 grams at birth
"SHARP MARY BIRCH FOR WOMEN & NEWBORNS, SAN DIEGO",1,790,1.27,0.03,7.05,100,critical care for neonates weighing less than or equal to 750 grams at birth
"SIERRA VISTA REGIONAL MED CTR, SAN LUIS OBISPO",0,52,0.00,0.00,57.61,100,critical care for neonates weighing less than or equal to 750 grams at birth
ST BERNARDINE MED CTR,0,196,0.00,0.00,15.28,100,critical care for neonates weighing less than or equal to 750 grams at birth
"ST JOHN'S REGIONAL MED CTR, OXNARD",0,57,0.00,0.00,52.56,100,critical care for neonates weighing less than or equal to 750 grams at birth
ST JOSEPH'S MED CTR OF STOCKTON,0,69,0.00,0.00,43.42,78.6,critical care for neonates weighing less than or equal to 750 grams at birth
"ST JUDE MED CTR, FULLERTON",0,43,,,100,,critical care for neonates weighing less than or equal to 750 grams at birth
"ST MARY MED CTR, APPLE VALLEY",0,27,,,100,,critical care for neonates weighing less than or equal to 750 grams at birth
SUTTER EAST BAY HOSPS CTR,1,729,1.37,0.03,7.64,98.6,critical care for neonates weighing less than or equal to 750 grams at birth
"ALTA BATES SUMMIT MED CTR, ALTA BATES CAMPUS, BERKELEY",,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
"ALTA BATES SUMMIT MED CTR, HERRICK CAMPUS, BERKELEY",,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
SUTTER HEALTH SACRAMENTO SIERRA REGION,1,1035,0.97,0.02,5.38,99.0,critical care for neonates weighing less than or equal to 750 grams at birth
"SUTTER GENERAL HOSP, SACRAMENTO",,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
"SUTTER MEMORIAL HOSP, SACRAMENTO",,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
SUTTER MED CTR OF SANTA ROSA,0,10,,,100,,critical care for neonates weighing less than or equal to 750 grams at birth
SUTTER WEST BAY HOSPS,0,493,0.00,0.00,6.08,100,critical care for neonates weighing less than or equal to 750 grams at birth
"CALIFORNIA PACIFIC MED CTR, CA WEST CAM HOSP, S F",,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
"CALIFORNIA PACIFIC MED CTR, PACIFIC CAM HOSP, S F",,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
"TORRANCE MEMORIAL MED CTR, TORRANCE",0,126,0.00,0.00,23.78,100,critical care for neonates weighing less than or equal to 750 grams at birth
"UNIVERSITY OF CALIFORNIA DAVIS MED CTR, SACRAMENTO",0,672,0.00,0.00,4.46,96.6,critical care for neonates weighing less than or equal to 750 grams at birth
"UNIVERSITY OF CALIFORNIA IRVINE MED CTR, ORANGE",1,828,1.21,0.03,6.73,100,critical care for neonates weighing less than or equal to 750 grams at birth
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",0,655,0.0,0.00,4.57,100,critical care for neonates weighing less than or equal to 750 grams at birth
"UNIVERSITY OF CALIFORNIA, SAN DIEGO MED CTR",,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
"UCSD-LA JOLLA, JOHN M.& SALLY B. THORNTON HOSP",,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2,245,8.2,0.99,29.49,94.7,critical care for neonates weighing less than or equal to 750 grams at birth
"UCSF MED CTR, SAN FRANCISCO",,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
"UCSF MED CTR AT MOUNT ZION, SAN FRANCISCO",,,,,,,critical care for neonates weighing less than or equal to 750 grams at birth
"VALLEY PRESBYTERIAN HOSP, VAN NUYS",1,187,5.4,0.14,29.79,95.2,critical care for neonates weighing less than or equal to 750 grams at birth
WEST HILLS HOSP AND MED CTR,0,29,,,100,,critical care for neonates weighing less than or equal to 750 grams at birth
WESTERN MED CTR SANTA ANA,0,16,,,86.4,,critical care for neonates weighing less than or equal to 750 grams at birth
"WHITE MEMORIAL MED CTR, LOS ANGELES",0,43,,,73.3,,critical care for neonates weighing less than or equal to 750 grams at birth
STATE OF CALIFORNIA POOLED DATA,36,29904,1.20,96.2,,,critical care for neonates weighing between 751 and 1000 grams at birth
"AHMC ANAHEIM REGIONAL MED CTR, ANAHEIM",2,149,13.42,1.63,48.49,ND,critical care for neonates weighing between 751 and 1000 grams at birth
"ANTELOPE VALLEY HOSP, LANCASTER",0,73,0.00,0.00,41.04,100,critical care for neonates weighing between 751 and 1000 grams at birth
"ARROWHEAD RGN MED CTR, COLTON",0,385,0.00,0.00,7.78,100,critical care for neonates weighing between 751 and 1000 grams at birth
BAKERSFIELD MEMORIAL HOSP,0,239,0.00,0.00,12.53,100,critical care for neonates weighing between 751 and 1000 grams at birth
"CALIFORNIA HOSP MED CTR, LOS ANGELES",0,68,0.00,0.00,44.05,100,critical care for neonates weighing between 751 and 1000 grams at birth
"CEDARS-SINAI MED CTR, LOS ANGELES",2,573,3.49,0.42,12.61,95.0,critical care for neonates weighing between 751 and 1000 grams at birth
"CENTINELA HOSP MED CTR, INGLEWOOD",0,48,,,100,,critical care for neonates weighing between 751 and 1000 grams at birth
CHILDRENS HOSP AND RESEARCH CTR AT OAKLAND,1,215,4.65,0.12,25.91,93.2,critical care for neonates weighing between 751 and 1000 grams at birth
"CHILDREN'S HOSP AT MISSION, MISSION VIEJO",0,124,0.00,0.00,24.16,100,critical care for neonates weighing between 751 and 1000 grams at birth
"CHILDREN'S HOSP CENTRAL CA, MADERA",3,1265,2.37,0.49,6.93,99.2,critical care for neonates weighing between 751 and 1000 grams at birth
CHILDRENS HOSP OF LOS ANGELES,0,1049,0.00,0.00,2.86,ND,critical care for neonates weighing between 751 and 1000 grams at birth
"CHILDREN'S HOSP OF ORANGE COUNTY, ORANGE",3,913,3.29,0.68,9.60,99.5,critical care for neonates weighing between 751 and 1000 grams at birth
"CITRUS VALLEY MED CTR, INC.",0,284,0.00,0.00,10.55,97.7,critical care for neonates weighing between 751 and 1000 grams at birth
"CITRUS VALLEY MED CTR, IC , COVINA",,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
"CITRUS VALLEY MED CTR, QV, WEST COVINA",,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
COMMUNITY HOSP OF SAN BERNARDINO,0,1,,,100,,critical care for neonates weighing between 751 and 1000 grams at birth
"COMMUNITY MEMORIAL HOSP, SAN BUENAVENTURA, VENTURA",0,91,0.00,0.00,32.92,100,critical care for neonates weighing between 751 and 1000 grams at birth
"COMMUNITY REGIONAL MED CTR, FRESNO",1,782,1.28,0.03,7.12,86.4,critical care for neonates weighing between 751 and 1000 grams at birth
COUNTY OF VENTURA,1,107,9.35,0.24,52.07,96.6,critical care for neonates weighing between 751 and 1000 grams at birth
VENTURA COUNTY MED CTR,,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
"VENTURA COUNTY MED CTR, SANTA PAULA HOSP",,,,,,,critical care for neonates weighing between 751 and 1000 grams at birth
"DAMERON HOSP, STOCKTON",0,96,0.00,0.00,31.21,100,critical care for neonates weighing between 751 and 1000 grams at birth
"DESERT REGIONAL MED CTR, PALM SPRINGS",0,82,0.00,0.00,36.53,100,critical care for neonates weighing between 751 and 1000 grams at birth
